Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,deviation_factor,Number_of-units,cost,area,vert/hori_area_factor_z-axis,Avg_curvature_angle_z axis,vert/hori_area_factor_x-axis,Avarage curvatrure angle x axis,vert/hori_area_factor_y-axis,Avg_curvature_angle_y axis
-0.606839,-0.587484,-0.500413,-0.632516,-0.460059,-0.351196,-0.170944,-0.191964,-0.390916,0.100047,137,472,22.286993,0.009105,70.38178,0.010331,36.396459,0.008403,29.282278
-0.604103,-0.586336,-0.496673,-0.629425,-0.459482,-0.34788,-0.168851,-0.193757,-0.390498,0.099946,135,499,22.221495,0.012303,70.201261,0.014862,36.094803,0.016782,29.83663
-0.531263,-0.558294,-0.444016,-0.54373,-0.40973,-0.302181,-0.100727,-0.182397,-0.366335,0.110835,132,461,20.853707,0.00836,72.71293,0.005348,32.103409,0.005664,29.585668
-0.479391,-0.537496,-0.399539,-0.483633,-0.379249,-0.263802,-0.05421,-0.182217,-0.350428,0.121134,122,506,19.971869,0.010878,74.89323,0.004563,29.606718,0.004788,28.685988
-0.437053,-0.520004,-0.358975,-0.435158,-0.357353,-0.22908,-0.017486,-0.186824,-0.338297,0.095648,111,419,19.335164,0.023672,76.384138,0.005779,28.064189,0.007211,27.255405
-0.398337,-0.50366,-0.320289,-0.391149,-0.338334,-0.196276,0.015562,-0.19253,-0.327465,0.098121,114,386,18.831396,0.041376,78.011272,0.014816,26.692308,0.002048,25.893277
-0.362768,-0.48839,-0.282989,-0.351042,-0.322099,-0.164861,0.045296,-0.199673,-0.317901,0.101042,118,409,18.46672,0.029036,79.360927,0.022089,25.094463,0.022036,24.929126
-0.329643,-0.471025,-0.242817,-0.315248,-0.30778,-0.133186,0.071359,-0.208715,-0.31042,0.107926,116,565,18.195477,0.03166,80.141379,0.009524,23.359398,0.006414,24.888722
-0.29776,-0.423452,-0.166963,-0.29297,-0.287488,-0.092501,0.087223,-0.219245,-0.313228,0.093506,93,401,17.905986,0.036307,80.818227,0.011605,21.472642,None,24.350704
-0.270259,-0.331804,-0.042452,-0.292913,-0.257315,-0.04258,0.087121,-0.228392,-0.331531,0.095464,96,547,17.595253,0.031511,82.157143,0.009166,18.82156,0.018705,24.442991
-0.247178,-0.324217,-0.011987,-0.267452,-0.255069,-0.015229,0.103591,-0.245212,-0.327146,0.095651,90,342,17.669347,0.031398,82.391304,None,17.9,0.004458,23.736449
-0.225758,-0.321263,0.016269,-0.242734,-0.257897,0.013055,0.118317,-0.267176,-0.323192,0.091025,90,347,17.854797,0.03055,81.393488,0.020981,16.446188,None,26.709292
-0.205712,-0.323927,0.042861,-0.218154,-0.267209,0.043504,0.131266,-0.296408,-0.319698,0.087015,103,381,18.214156,0.037318,79.892,0.015641,18.892208,0.013749,27.772532
-0.186795,-0.333833,0.068352,-0.192908,-0.285238,0.077771,0.142283,-0.33608,-0.316754,0.087955,103,430,18.818761,0.045729,77.066409,0.019377,19.901504,0.013862,32.215299
-0.168976,-0.353539,0.09346,-0.16623,-0.315586,0.11808,0.150852,-0.391019,-0.314709,0.093138,114,435,19.818773,0.031337,72.13057,0.011198,20.71374,0.006019,39.747355
-0.16564,-0.350996,0.097148,-0.162945,-0.313044,0.120433,0.15345,-0.390393,-0.313919,0.092756,125,437,19.82902,0.033922,72.777807,0.011291,21.000771,None,38.472727
-0.157739,-0.340741,0.098178,-0.156338,-0.302105,0.121009,0.155629,-0.382135,-0.306252,0.093037,115,424,19.679046,0.033949,73.2,0.01989,21.111024,0.002009,37.923256
-0.1423,-0.2881,0.085589,-0.152348,-0.238821,0.092887,0.158812,-0.31,-0.281598,0.092954,102,620,18.436253,0.022707,77.926596,0.027248,19.984452,0.001498,31.475
-0.133006,-0.251838,0.08227,-0.151008,-0.194433,0.072828,0.164687,-0.258293,-0.270356,0.090522,90,360,17.767217,0.036705,81.290625,0.036949,17.881218,0.003894,25.764179
-0.122679,-0.220265,0.083417,-0.147056,-0.156605,0.058623,0.171771,-0.216263,-0.260987,0.088571,85,364,17.356161,0.024433,83.452381,0.001364,15.979592,None,21.874112
-0.112159,-0.191806,0.08778,-0.142049,-0.12361,0.04836,0.179131,-0.181107,-0.253227,0.086514,82,487,17.114638,0.033729,84.164516,0.002337,16.043478,None,20.661111
-0.102132,-0.165415,0.094967,-0.13723,-0.094723,0.041087,0.185879,-0.151561,-0.247116,0.084289,80,334,16.995874,0.054974,84.862286,0.009392,15.908108,None,18.290476
-0.093236,-0.140127,0.105179,-0.13377,-0.069679,0.036352,0.191081,-0.127109,-0.242885,0.084966,89,361,16.938627,0.065748,85.367485,0.022022,15.752632,0.025401,17.392899
-0.086103,-0.114874,0.119124,-0.132871,-0.048454,0.034036,0.193714,-0.107684,-0.240923,0.082896,88,359,16.915593,0.055559,85.87554,0.006284,14.663265,0.004102,15.956757
-0.081353,-0.088395,0.137949,-0.135789,-0.031105,0.03423,0.192695,-0.093435,-0.241756,0.081784,85,328,16.935595,0.071181,85.461972,0.022185,16.335294,0.00989,15.680769
-0.037098,-0.018465,0.216337,-0.104997,0.015763,0.068272,0.215579,-0.077706,-0.234651,0.079807,87,341,17.127027,0.05383,84.582,0.009644,16.837975,0.003971,18.820253
-0.031966,0.023992,0.26043,-0.113957,0.031918,0.079347,0.208248,-0.072431,-0.241767,0.084384,92,336,17.199019,0.035103,84.064286,0.018858,17.120809,0.009142,20.174566
-0.041007,0.063338,0.302687,-0.139998,0.036771,0.086465,0.187501,-0.074193,-0.256902,0.086605,95,378,17.244354,0.043163,83.579651,None,17.25,0.011189,21.361017
-0.055153,0.110045,0.35661,-0.175462,0.038464,0.096425,0.159524,-0.080744,-0.278541,0.084848,91,357,17.343042,0.033002,83.066814,0.007849,18.683691,0.00749,21.844397
-0.075092,0.166096,0.424776,-0.221916,0.03782,0.109153,0.123922,-0.091251,-0.308265,0.084019,96,352,17.530705,0.022325,82.61194,0.01762,18.843542,0.015538,23.190775
-0.102441,0.234049,0.510912,-0.282331,0.035333,0.12451,0.079552,-0.105074,-0.348758,0.090758,94,365,17.890101,0.023233,81.3,0.014892,20.619444,0.020638,24.995963
-0.140094,0.318253,0.621655,-0.361989,0.031249,0.142639,0.024028,-0.121905,-0.404619,0.091013,113,418,18.529908,0.0225,79.188636,0.01366,23.06194,0.001644,27.363547
-0.193355,0.426856,0.769444,-0.470676,0.025516,0.164203,-0.047398,-0.141872,-0.484176,0.096865,118,576,19.635994,0.00858,76.291917,0.009342,26.188136,0.005118,30.709551
-0.195199,0.434933,0.77834,-0.476206,0.025384,0.166806,-0.052994,-0.144246,-0.486724,0.098308,116,895,19.713456,0.005998,75.950089,0.00681,26.718149,0.010104,31.163506
-0.192894,0.435244,0.776321,-0.473546,0.025677,0.168037,-0.053545,-0.145375,-0.483024,0.098313,120,444,19.699051,0.004737,75.994149,0.005725,26.609253,0.008803,31.122321
-0.137771,0.344616,0.642372,-0.369893,0.031814,0.155061,0.004661,-0.133267,-0.399602,0.090718,107,382,18.683805,0.012452,78.925424,0.008857,22.850481,0.0063,28.129833
